timestamp,RSI,MACD,Signal_MACD,Hist_MACD,StochRSI,ADX,Sinal,moeda
2025-06-13 18:35:00,37.33905579399131,-0.0018731625703769517,-0.0012380469111045282,-0.0006351156592724234,0.24429010487242483,32.99326180067119,1,ADAUSDT
2025-06-13 18:40:00,37.339055793991605,-0.0020099076122854775,-0.0013924190513407183,-0.0006174885609447592,0.22936736190285265,31.103394992459805,1,ADAUSDT
2025-06-13 18:45:00,35.68281938325998,-0.0019984126153500537,-0.0015136177641425857,-0.000484794851207468,0.1378992899758659,29.79935537928075,1,ADAUSDT
2025-06-13 18:50:00,44.44444444444427,-0.001846974511023447,-0.001580289113518758,-0.0002666853975046889,0.6217728155794248,28.69421052413588,1,ADAUSDT
2025-06-13 18:55:00,48.258706467661604,-0.0016993010730351754,-0.0016040915054220417,-9.520956761313376e-05,0.8324210001184313,25.926353381278677,1,ADAUSDT
2025-06-13 19:00:00,41.242937853107335,-0.0015642372561152085,-0.001596120655560675,3.188339944546663e-05,0.44496494366349915,24.867263423248424,1,ADAUSDT
2025-06-13 19:05:00,35.80246913580267,-0.0014007059208518413,-0.0015570377086189084,0.00015633178776706708,0.1735986022535002,25.11749801818114,2,ADAUSDT
2025-06-13 19:10:00,40.26845637583889,-0.0012406662032425908,-0.001493763407543645,0.00025309720430105424,0.46989177644057034,24.71743455983931,1,ADAUSDT
2025-06-13 19:15:00,43.16546762589924,-0.001180912393682676,-0.0014311932047714512,0.0002502808110887752,0.6620922044312854,22.266801648446883,1,ADAUSDT
2025-06-13 19:20:00,40.816326530612464,-0.001232319951506855,-0.001391418554118532,0.00015909860261167702,0.5062398845912125,20.497457547169883,1,ADAUSDT
2025-06-13 19:25:00,50.0,-0.0011708037081894496,-0.0013472955849327156,0.00017649187674326607,1.0,17.68983237938697,1,ADAUSDT
2025-06-13 19:30:00,42.39999999999993,-0.0011172419368361552,-0.0013012848553134036,0.0001840429184772484,0.4691692307692231,15.615636472954188,1,ADAUSDT
2025-06-13 19:35:00,54.471544715447166,-0.0009508645725355702,-0.001231200798757837,0.0002803362262222668,1.0,15.106431615923205,1,ADAUSDT
2025-06-13 19:40:00,54.03225806451618,-0.0009373112008181916,-0.0011724228791699079,0.00023511167835171625,0.9766196672118869,14.738553072439156,1,ADAUSDT
2025-06-13 19:45:00,62.385321100917565,-0.0009080336451897653,-0.0011195450323738794,0.00021151138718411414,1.0,14.066543377873009,1,ADAUSDT
2025-06-13 19:50:00,61.32075471698099,-0.0008428385956782414,-0.0010642037450347519,0.0002213651493565105,0.9601323353447214,13.872478021669183,1,ADAUSDT
2025-06-13 19:55:00,56.382978723404165,-0.000782154854942152,-0.001007793967016232,0.00022563911207407997,0.7742024676136944,12.388032234897855,1,ADAUSDT
2025-06-13 20:00:00,44.18604651162793,-0.0007815376238247129,-0.0009625426983779282,0.0001810050745532153,0.31537539263383646,11.28830231879632,1,ADAUSDT
2025-06-13 20:05:00,51.02040816326574,-0.0006684439228202832,-0.0009037229432663993,0.00023527902044611607,0.5724720224689894,11.728117133611011,1,ADAUSDT
2025-06-13 20:10:00,59.663865546218716,-0.0004046987847362571,-0.0008039181115603709,0.0003992193268241138,0.8976236425545965,11.811139134441278,1,ADAUSDT
2025-06-13 20:15:00,55.46218487394939,-0.00023333494396116095,-0.000689801478040529,0.00045646653407936807,0.6869747899159542,11.679647688942278,1,ADAUSDT
2025-06-13 20:20:00,50.0,-0.00018416572461921188,-0.0005886743273562655,0.00040450860273705366,0.4257812499999915,10.837872129797788,1,ADAUSDT
2025-06-13 20:25:00,61.702127659574266,3.993170619986941e-05,-0.0004629531206450386,0.000502884826844908,0.9683252068557763,10.891061707515759,1,ADAUSDT
2025-06-13 20:30:00,65.90909090909071,0.00017516551432084082,-0.0003353293936518628,0.0005104949079727035,1.0,11.091728181001832,1,ADAUSDT
2025-06-13 20:35:00,68.30985915492938,0.0004466431074147126,-0.0001789348934385477,0.0006255780008532603,1.0,13.28414540850101,1,ADAUSDT
2025-06-13 20:40:00,72.83950617283925,0.0008217706449394901,2.1206214237059882e-05,0.0008005644307024302,1.0,15.535254185345199,1,ADAUSDT
2025-06-13 20:45:00,59.090909090908944,0.0008829472553084639,0.00019355442245134067,0.0006893928328571232,0.5201767170705038,16.285771783689004,1,ADAUSDT
